にほんし	Japanese paper
シャーベット	sherbet (frozen dessert)
キロヘルツ	kilohertz
エアシューター	pneumatic tube
ルームチャージ	fee charged for hotel room
パワー	power
いのこもち	day-of-the-Boar mochi (made with new grains)
ざいむ	financial affairs
きゃっこう	footlight
エアロビクス	aerobics
かけへだてる	to put distance between
ひくてあまた	being very popular
エレクト	erect
パンクレアチン	pancreatin
けみする	to inspect
かくぜん	violent and angry
まないた	chopping board
ナショナル	national
せめこむ	to invade
バリカン	barber's clippers
オールウエーブ	all-wave (receiver)
かむ	to bite
おまけに	to make matters worse
フィードロット	feed lot
パピルス	papyrus
けんめんちょうしょ	public prosecutor's record of a statement given before a prosecutor
けんいじょう	stomach tablet
おうりょうざい	fraudulent appropriation
け	mundane
ビルブローカー	bill broker
げんとく	Gentoku era (1329.8.29-1331.8.9)
おっけん	conjecture
パンフォーカス	pan-focus
カルテット	quartet
いっせき	one evening
カバリエ	cavalier
しゃが	fringed iris (Iris japonica)
バリアフリー	barrier-free (planned or designed to facilitate accessibility for the elderly and disabled)
のみたおす	to skip out on one's bar bill
オーバースロー	overhand throw
ウイリー	wheelie
ピギーバック	piggyback (system)
パンパイプ	panpipes
たまてばこ	Urashima's casket (in the story of Urashima Tarō)
えんせい	going afar
エアロノート	aeronaut
かなきりごえ	shrill voice
かがみこむ	to lean over
こくさいカルテル	international cartel
けんりつ	prefectural
なつこだち	grove in summer
カチオン	cation
こんぼう	stick
けんそん	modesty
ピーアール	PR
かりたく	rented house
カメラリハーサル	camera rehearsal
もみ	Japanese fir (Abies firma)
こせんすい	karesansui, traditional (Chinese or Japanese) dry landscape garden
かじきざ	Dorado (constellation)
やまざくら	mountain cherry (Cerasus jamasakura)
げんだいか	modernization
イエローヤンキー	yellow Yankee
パフォーマンス	performance (e.g. music, dance, drama)
いちこつちょう	ichikotsu mode (one of the six main gagaku modes)
パンパスグラス	pampas grass (Cortaderia selloana)
そのうえ	a long time ago
ザイール	Zaire (now Democratic Republic of the Congo)
ひっぱりあう	to pull from both ends
インクスタンド	inkstand
した	reed (of a musical instrument)
サブタイトル	subtitle
したえのぐ	underglaze color
シェーパー	shaper
いばら	thorn
バルクワイン	barreled wine
フォートラン	Fortran (programming language)
けんえつ	censorship
おうちゃくもの	shirker
